ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmin,prog_ent_int,prog_ent_grad,eff_dcfl,eff_dcff,cpress_term,ent_fac_sh,orig_mdet_fac,r_det,cca_md_knob,mparwtr,qlmin,stag_dropoff,cape_timescale,efrac,thpixs_mid,c_mass_sh,gwd_frc,fbcd,gsharp,nsigma,nsigmasf,fcrit,ez_max_bm,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,a_ent_2,dec_thres_cloud,par_mezcla_rp,lambda_min_rp,near_neut_z_on_l,tke_diag_fac,cbl_mix_fac_nml,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,sea_salt_ems_scaling,ps_acc_cor_scav,ps_natl_dms_emiss,marine_pom_ems_scaling,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,rho_snow_fresh,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,can_clump_broadleaf,can_clump_needleleaf,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,fsmc_p0_io,gs_nvg_io
Experiment,,1,1,255,2.744666562,0.56114127,-3.256760925,-3.742613933,-1.321483309,1.523049707,8.559016524,0.02552673,0.983300126,0.689033979,0.458160551,0.786314823,0.001478924,0.000822022,2.588285758,1632.314295,0.781923274,0.584847217,0.027933997,5.165961092,8.401179053,1.453309148,2.367676851,2.891226832,1.709112849,417.972187,24.67693674,0.405236683,0.580075087,0.122865969,0.454069885,0.025762784,0.391688979,0.205924221,54.91312549,2.283308017,1.311464298,0.439969481,0.00060065,1.259051027,9937.023013,0.738513684,0.955630602,2.857902083,1.498172619,0.008565214,0.207544807,0.741438281,2.079867649,3.739420314,1314.371779,0.000712948,0.912131598,2.464241265,1.092306137,1.497544082,1.480099979,1.991098242,1.797748272,2.355204641,3.552959837,0.837779241,0.108754663,-0.000344868,-0.123243241,22.00733346,141.616254,3.01E-06,41.91124757,183.5275016,5.532946882,8.237356494,34.22779928,0.901885751,0.70082005,0.022553488,3.491242932,3.217348652,0.353814118,0.015429566
Experiment,,1,1,256,1.950981643,0.32874197,-2.880277379,-1.974329386,-0.799600543,1.313337026,2.105084719,0.483550161,0.394778284,3.601372904,0.592832471,1.562449527,0.001579772,0.000284561,2.820036354,2226.804916,0.714225066,0.059192622,0.037519054,4.921243422,9.602291966,0.875248616,3.058342312,3.599976632,1.514620197,366.6557276,34.04313896,0.293744946,0.417300104,0.081484628,0.301138844,0.06294677,0.106700109,0.077210797,20.58954582,0.911184845,2.399557174,0.485520652,0.00070171,1.783561598,27631.89455,0.085448743,0.293396501,2.294675658,1.47345642,0.014536592,0.333862317,0.800255468,1.613812343,3.031382115,6251.63194,0.000778146,0.962007045,3.346881716,0.988215009,2.375015537,2.084330759,1.28954197,1.746173268,0.499490237,3.160345041,0.739313376,0.11652199,-0.003135066,-0.121240998,20.15585818,81.11899133,2.30E-06,33.40263396,114.5216253,4.662674924,6.109199916,32.66891845,0.792447333,0.739928166,0.047554867,5.132766995,2.508246584,0.628563418,0.010094801
Experiment,,1,1,257,1.90795165,0.466984663,-3.146423752,-2.105194136,-0.817492812,2.333438695,3.395038437,0.560267176,0.602674978,0.679519222,0.839739137,0.911343879,0.0013694,0.000855886,1.109435688,2558.849889,0.713876394,0.79677776,0.030340624,4.896393261,7.084740986,0.227040478,3.260024831,3.129137658,2.138627069,373.1181045,32.99812423,0.303047529,0.229738236,0.167469423,0.618908736,0.055881673,0.174511918,0.064525151,17.20670705,2.347233743,1.1100562,0.38602379,0.000427475,1.563187569,17181.16634,0.784263737,0.659679132,2.491248739,1.195041502,0.022392602,0.213144396,0.048619758,2.912979613,8.321680151,2564.424981,0.000657465,1.00165126,0.274405577,0.834535897,2.294678913,2.208836806,1.566772216,0.666517449,1.590557377,2.348304022,0.807533909,0.04186685,-0.003865222,-0.168033375,17.22453136,112.8870586,1.26E-06,13.79327071,126.6803293,5.738454824,8.54478595,37.08223935,0.861413117,1.375241637,0.046382543,4.319880018,3.607020778,0.662998317,0.006989426
Experiment,,1,1,258,2.459463347,0.637745922,-3.196721392,-2.763112417,-1.063858223,2.447769467,7.329981651,0.320094443,1.463837495,2.415945332,0.606165164,0.171273233,0.001049112,0.000204456,3.768218571,4187.921719,0.863607916,0.200239515,0.042463718,1.590052176,9.144620669,0.199565235,2.860390198,3.823191586,2.83661307,384.4689619,28.57580088,0.349946447,0.461625493,0.051665613,0.190938135,0.069548776,0.162642417,0.090530965,24.14159066,3.972225063,1.061066929,0.242266268,0.000430601,1.670203578,28190.49818,0.139595547,0.378247076,2.896172264,0.737777388,0.038860911,0.171916369,0.225657794,2.31395749,5.251083342,3655.058531,8.93E-05,1.127581416,0.999611378,1.664615634,0.882875561,1.805345,1.865863426,1.65146931,1.092927653,8.809231875,0.939678993,0.101567909,0.002855509,-0.124477091,19.0140248,102.4677618,2.50E-06,44.81334055,147.2811024,8.07225689,5.768493596,32.07918734,0.94596692,1.224505425,0.023134758,2.043705838,0.767867401,0.149052509,0.013661458
Experiment,,1,1,259,1.68203843,0.450349528,-3.44277381,-2.44154127,-0.839988613,3.386889304,4.813642443,0.228795236,0.997324923,0.949046491,0.429501117,1.201015936,0.001016001,0.000360559,3.266727892,2592.00363,0.691786606,0.594816373,0.015197814,2.567784441,3.608015669,0.747853481,2.130787725,2.537876085,0.755058921,371.710564,23.2297656,0.430482174,0.246271759,0.037903626,0.140078616,0.05642817,0.240390239,0.307142848,81.90475956,5.513346677,1.522278601,0.683512968,0.00041291,1.771136631,16009.56633,0.66951436,0.263237063,2.724029959,0.913401779,0.037730185,0.276847593,0.865667533,0.63387874,3.291966898,1651.864216,0.000832443,1.055659054,0.529553578,0.66841339,1.072309797,1.387790512,1.205726531,1.76260009,3.597421649,1.413014932,0.421853539,0.050966988,0.003932192,-0.154621177,16.75382545,127.1668608,2.36E-06,32.85715899,160.0240198,5.95969507,3.590966751,30.54047083,0.702577794,0.660500903,0.075163393,1.598669831,2.675552275,0.411899302,0.013503204
Experiment,,1,1,260,1.831123276,0.386161733,-3.055602793,-1.995958043,-0.779590784,3.486216828,6.27270267,0.55013601,1.0433143,2.485706776,0.391095898,0.249769053,0.001072388,0.000908736,1.84759926,1897.991873,0.988044829,0.504778275,0.027381921,6.229396559,0.549801281,0.091685761,4.32993582,3.216946067,0.586275923,407.6491583,24.36734066,0.410385365,0.257950591,0.234949721,0.868292447,0.067938155,0.132109638,0.180921925,48.24584661,5.67884179,1.464732823,0.277109431,0.000690057,1.305686418,9701.270668,0.099063074,0.288004942,2.926103649,0.564027723,0.022263342,0.091236618,0.442667293,1.244044511,6.251469545,889.7825153,0.000438377,1.156899622,1.369703778,1.031538143,1.096482172,3.471583832,1.493817096,1.438721293,2.469360642,0.583505393,0.569638562,0.058411718,-0.005068972,-0.159028942,22.62977045,88.62525955,3.95E-06,15.63732436,104.2625839,6.234917375,4.129779753,33.04571403,0.685726388,1.056354938,0.044251895,4.001561689,3.504145763,0.660365649,0.005630031
Experiment,,1,1,261,2.410860453,0.442138432,-3.554523187,-4.723991436,-1.453396024,3.511547871,6.745521165,0.533060933,1.25329101,4.776132171,0.688174839,0.320109364,0.001268417,0.000193091,1.269356582,2615.222948,0.278716884,0.333995054,0.027859925,2.773254299,7.341206418,2.068754039,2.393425392,2.434634489,2.718416976,403.7697516,14.44512441,0.692275104,0.977794216,0.314617088,1.162715326,0.043240178,0.103408033,0.176481315,47.06168396,2.025115858,1.757919432,0.340242059,0.000390299,1.417962898,11295.13159,0.805759133,0.135888139,2.87174814,0.773264542,0.011358279,0.230677252,0.701579296,2.6760857,10.54896701,1693.206403,0.000129861,0.867295933,1.302082285,1.251203784,1.012249505,1.848181162,0.864918061,1.1013512,1.187350164,0.666853146,0.664225003,0.083470187,-0.00286446,-0.141363354,18.52303762,114.1022486,4.31E-06,18.32134282,132.4235914,8.766190185,5.465872251,34.98396451,0.892683588,1.260251416,0.071982497,1.435056122,1.613345809,0.007929681,0.010291724
Experiment,,1,1,262,2.096532688,0.578860079,-3.16953283,-2.186391473,-0.872447676,3.110479019,5.408364544,0.357367293,1.314673327,1.819495012,0.802141347,1.282543749,0.00173017,0.000212698,3.606048287,6748.871736,0.918672045,0.375556198,0.039725673,6.415504072,7.258202831,0.979096001,3.568605493,1.760175737,1.377230691,348.9315045,36.89065147,0.271071385,0.161115088,0.249342394,0.921482761,0.064177819,0.136232333,0.188663893,50.31037155,5.19296352,3.423815245,0.690613443,0.000517319,1.580957275,22483.79669,0.748917768,0.405319051,2.479262432,0.519872982,0.015822503,0.137046805,0.233143422,1.219785019,8.904739357,3722.132981,0.00059564,0.92491278,0.444998982,0.415587414,2.685083343,0.410951686,1.041797107,1.718645955,1.295649499,6.625139569,0.744417658,0.064566343,-0.003464482,-0.153627048,17.32126799,127.2989603,1.66E-06,42.45907784,169.7580382,8.607937198,5.185210234,32.7931984,0.918598802,1.445501057,0.032535173,2.390096052,2.164271812,0.215797316,0.009595972
Experiment,,1,1,263,2.373533061,0.661108598,-2.945083993,-1.906721572,-0.871903883,2.78173329,4.277758466,0.396527334,1.58701713,0.527899,0.771509635,0.985366517,0.001485198,0.000591103,1.582129185,2519.047753,0.62681045,0.782905159,0.060026623,5.357977036,3.254382978,1.282473894,2.684393502,2.981345923,0.821464976,390.6051492,35.70717676,0.280055745,0.472269268,0.071801894,0.265354827,0.087163589,0.119866622,0.186555901,49.74824037,4.213967596,1.283170003,0.7815988,0.000251944,1.176614033,24021.11001,0.304053377,0.407052729,2.606381921,1.206307192,0.021393222,0.274993678,0.282931791,2.216636734,11.43008464,1102.482642,0.000138315,0.919004735,0.827306037,1.482623562,3.002967652,1.295804682,1.746543947,1.662762024,1.747409811,4.132457565,0.557034978,0.072383533,-0.001879254,-0.147218614,20.94970594,100.019662,2.99E-06,61.54998543,161.5696474,8.712486257,6.396822208,30.60392723,0.701833188,2.097631364,0.033659771,5.31989264,1.716976503,0.359418876,0.009818741
Experiment,,1,1,264,1.566977619,0.411006698,-2.774992311,-1.092115879,-0.541667294,2.036908422,1.301397299,0.528755629,0.714779573,1.94843065,0.506386318,0.590486648,0.001413286,0.000694251,1.220508937,4709.335691,0.6322398,0.14947296,0.032882917,1.909278826,6.466822568,1.253978268,1.757225814,3.252359509,0.816802793,332.7037964,46.78630888,0.213737742,0.929019024,0.145749271,0.53863861,0.042960971,0.25750106,0.215246164,57.39897704,1.322011293,1.09421786,0.319215646,0.000582968,1.631866404,22199.88886,0.192825921,0.68694239,2.316438061,1.166185399,0.028990186,0.243849079,0.31393497,2.189514815,4.5715199,6872.868991,9.40E-05,0.677566468,1.523454171,1.576958244,1.241122709,2.597662071,1.768725523,1.877075275,1.070729829,2.636241189,0.675723337,0.066069396,-0.003267004,-0.152502187,22.77909162,103.5680187,3.38E-06,71.06326109,174.6312797,3.303621938,4.017839525,27.49408301,0.835244355,0.993180784,0.061391792,3.131128275,1.099887407,0.003087295,0.015979375
Experiment,,1,1,265,2.131384724,0.524408185,-2.805925461,-1.619530772,-0.76407552,3.163751083,2.786004332,0.293435582,1.108102379,0.577885472,0.386763756,1.01705766,0.001117152,0.00016954,1.500262935,1742.406072,0.756524362,0.776028418,0.026828216,5.513103079,1.226174558,0.588504031,2.20554255,2.35104963,1.110028748,345.8240837,3.188431438,3.136338414,0.136323499,0.11584682,0.428129552,0.082085991,0.192686507,0.042644869,11.37196519,1.205508817,1.900723017,0.198612801,0.000561336,1.321571058,17946.74471,0.860986501,0.679191688,2.372300277,1.029499379,0.020756099,0.291340591,0.643880359,1.539337385,8.004693941,2159.690508,0.000279556,0.868066606,0.645622338,0.897614508,1.041983989,1.168446255,1.417115212,0.783951573,0.829762195,6.540809203,0.961195798,0.086838041,0.00574561,-0.130675319,18.7980727,94.91558437,3.03E-06,18.63425436,113.5498387,3.708611704,3.891324258,39.37823969,0.828846383,1.101389709,0.065579325,1.452408537,1.579964324,0.014689453,0.010284614
Experiment,,1,1,266,2.920517544,0.430955466,-3.102279505,-3.843603175,-1.377876698,1.412046468,6.07057094,0.290367208,1.288794033,1.796297197,0.5886352,0.184748377,0.001100132,0.000757046,3.277413925,2649.086783,0.951091057,0.848750151,0.038092594,3.396445274,1.487595763,1.141774209,1.19795189,2.179617995,1.498595399,467.5744038,45.74008778,0.218626603,0.734197096,0.096238496,0.355664007,0.069626743,0.038733666,0.106818847,28.48502589,2.69078991,0.748485115,0.11794506,0.000490591,1.815909719,21702.08485,0.766919474,0.698317443,2.430744331,1.682009979,0.042084108,0.301611371,0.618180792,3.524260241,8.556397798,1552.721229,0.000427768,0.980300494,0.579734784,0.960833951,1.513938947,1.55922576,1.834555701,1.778483993,0.41655967,2.909109758,0.815832552,0.085105277,0.000814949,-0.136675095,15.19135643,132.0091387,2.53E-06,21.67102435,153.6801631,3.999045459,8.884411094,40.22487342,0.76177736,0.896217538,0.045850103,4.308009891,2.598321419,0.124696439,0.014707204
Experiment,,1,1,267,1.965229386,0.560192467,-2.887819595,-1.447205028,-0.695125657,1.498000489,4.093996305,0.94771317,0.876434219,0.96640483,0.633926844,1.160367785,0.00121161,0.000834048,2.458755863,6366.689798,0.677234767,0.15212741,0.030967314,4.216244349,8.318396613,0.236559364,3.46976557,2.120608093,1.030900559,435.2562286,32.00971021,0.312405202,0.680579487,0.099882263,0.369130103,0.026433447,0.20424551,0.113644187,30.30511662,1.581368454,1.147265062,0.326348586,0.000524083,1.584580953,10927.02331,0.733565902,0.002005259,2.929903724,0.955124012,0.01382107,0.184457011,0.408161591,1.930827537,2.815848707,1740.343362,0.000253894,1.025032748,1.255129025,0.886303207,0.45410643,1.474642655,1.411773746,1.864320173,1.425733928,1.820558783,1.001170943,0.113148192,-0.002271092,-0.122458658,20.6695415,90.02746096,2.86E-06,42.12643751,132.1538985,3.798763574,4.442463069,29.07836614,0.785282559,1.620333951,0.046670122,1.195383304,0.504851646,0.789079116,0.012268883
Experiment,,1,1,268,2.673197223,0.61382215,-2.939702873,-2.460205671,-1.045693376,2.851781697,1.376027076,0.62722369,1.743069042,0.839034823,0.428141333,0.368445468,0.001251776,0.000177184,2.057585221,2745.844335,0.830273925,0.816929366,0.023917154,4.872115367,7.033218447,0.481943109,2.049255001,1.372786232,0.8994507,422.0670462,4.291011481,2.330452865,0.198818494,0.411203338,1.519664512,0.04910922,0.096145471,0.105078941,28.02105098,2.972096822,0.363987856,0.114952285,0.000919349,1.230783981,18591.76502,0.998225736,0.676466189,3.03272658,0.894955533,0.035123425,0.266134067,0.651006595,0.922764772,9.945062259,863.4886496,0.000703797,1.113650372,1.575021059,0.873472941,1.589745893,1.323020074,1.856102544,1.418582683,2.274226801,2.768390488,0.825746299,0.083251743,0.003176856,-0.135456818,14.84405549,99.49212192,4.20E-06,30.21381579,129.7059377,7.606717213,6.076769306,30.79712002,0.773771672,1.548713847,0.099313046,4.516115947,1.701970118,0.762697284,0.013021204
Experiment,,1,1,269,2.503487484,0.457892914,-2.736730322,-2.119139216,-0.941646354,3.13009851,1.969858721,0.64363774,0.683807649,0.857883653,0.619800483,0.79500384,0.001207949,0.000221602,2.325089109,1756.708006,0.929469434,0.238354529,0.02880545,1.848741108,3.907257149,2.240927311,2.187625615,2.961444276,1.759743849,383.1514893,5.065234252,1.974242356,0.23591403,0.329272189,1.21687548,0.010578957,0.109396895,0.209977416,55.99397768,2.660489872,1.303098865,0.528683182,0.000677955,1.173773101,6141.216951,0.826122855,0.831284924,2.663419632,1.26986673,0.042221569,0.294611271,0.338489944,2.930172622,9.189697149,1236.147977,0.000192714,0.957479001,0.325121415,0.659645864,1.781976296,0.950089659,1.553276399,1.273973185,1.381900488,1.09954579,0.81245517,0.08085028,0.004397431,-0.135717946,22.57610414,75.76012143,7.15E-06,51.79876413,127.5588856,2.979670086,9.420372327,37.11113761,0.756645121,0.60203601,0.019449668,4.848836332,2.702452217,0.685166818,0.008630562
Experiment,,1,1,270,1.927377026,0.55075401,-2.649696487,-1.063676211,-0.609288735,1.037050609,6.460763479,0.546325685,1.499886547,1.62989314,0.821995285,1.102281231,0.001572187,0.000762853,3.527798668,1927.076022,0.801155493,0.177244012,0.030430348,2.492551952,5.188462553,0.904130105,2.967844261,2.629371394,2.743923203,413.1649901,22.13570023,0.451758919,0.62845037,0.244793887,0.90467306,0.064013604,0.250871936,0.310516243,82.80433149,2.208710694,0.974178791,0.5414476,0.000555394,1.598529893,35392.73496,0.141136268,0.870565979,3.260774106,1.098774827,0.026975009,0.15206788,0.895214944,3.596885906,7.529652376,3551.20098,0.000283208,0.763550527,1.671769057,1.276400593,2.242954496,2.094034613,1.237482379,1.459866869,0.694965565,2.215620793,0.779725465,0.10083742,0.005016271,-0.12276704,14.98888805,102.9509825,2.10E-06,41.487569,144.4385515,8.124062013,4.862263836,33.97493275,0.749061304,1.510124007,0.037379554,2.158097634,1.114729887,0.553368981,0.00926271
Experiment,,1,1,271,2.378163354,0.444081591,-2.617557035,-1.765168463,-0.844012193,2.645951779,2.474368502,0.115477626,1.265965966,1.19683425,0.673039492,1.575538385,0.001113773,0.000568764,3.139967084,4068.089572,0.508857956,0.206903944,0.021237263,6.132021669,3.390435843,2.556924308,1.815281561,1.932123328,0.955361557,359.306552,23.4611842,0.426235944,0.385204453,0.330444392,1.221207536,0.070733051,0.189285363,0.337807484,90.08199564,3.197423437,1.649167196,0.080384301,0.000611812,1.90020114,14811.50363,0.488583318,0.618604596,2.351840947,1.086871762,0.01291476,0.331527379,0.232453652,0.542405178,6.837416135,3689.873704,0.000664814,1.007886416,0.982908329,1.437601174,3.851725798,1.456531696,1.432948851,1.014246958,1.491123745,3.214943908,0.628596375,0.070750133,-0.006817089,-0.153164257,16.81296656,89.07269406,2.22E-06,78.72318721,167.7958813,5.679754007,4.524432135,30.77918257,0.7080848,1.092348974,0.017965014,0.954868587,1.037285852,0.504949558,0.008942976
Experiment,,1,1,272,2.119182143,0.611959981,-2.623074743,-1.117493213,-0.65932288,1.387300609,7.506456355,0.107661809,1.285947883,1.032863921,0.856225452,0.82304685,0.001096388,0.000926226,2.501670745,3217.192811,0.9820452,0.65941182,0.040910438,5.1348169,1.975943207,1.889140911,2.144355795,1.47989436,2.406125395,355.6456696,8.395861731,1.191062969,0.253320088,0.177201999,0.654876953,0.028329266,0.143840063,0.231764258,61.80380211,3.021334538,1.204318149,0.015525449,0.000501074,1.85949246,35585.48527,0.938449766,0.841778237,3.226932221,0.757515156,0.031047128,0.303991114,0.304711713,1.433655854,5.307637919,1269.752872,0.000599512,1.140385924,0.42136039,1.05328427,0.467288622,2.676738382,1.594935232,1.885653114,2.382877515,3.244436256,0.722668585,0.112597494,-0.006595295,-0.127122641,15.12718581,94.0528562,4.60E-06,53.37500218,147.4278584,9.6331012,3.850159377,33.24326481,0.891180174,0.882818861,0.028455,2.65564009,1.230960728,0.775659462,0.005289678
Experiment,,1,1,273,2.064349204,0.40871023,-3.354561519,-3.164040517,-1.065042548,2.608045805,2.971201409,0.179804327,1.199890021,1.200768859,0.622735947,1.681093673,0.001290862,0.00077252,1.641505074,3070.191209,0.875069334,0.171676313,0.046184512,4.123627076,6.669647758,1.673133248,2.284217124,2.544059644,1.898514849,401.5071321,4.546570978,2.19945978,0.59780691,0.136219832,0.503421118,0.055669565,0.061153062,0.160089128,42.69043419,2.822868399,1.05514163,0.461648367,0.000160107,1.768515142,39367.84072,0.56398848,0.48894478,2.73109811,0.705701729,0.032462168,0.182664462,0.735926165,1.516929768,7.470247899,2994.211514,0.000698295,1.216946314,0.546878876,0.744101724,2.582815212,1.523282213,1.777278216,0.892661065,2.412595269,0.933208083,0.798667728,0.060446226,0.002424129,-0.150280549,21.4226686,96.52859878,3.07E-06,27.361232,123.8898308,5.607961949,6.749057622,36.55360183,0.820142122,0.706773197,0.032796942,2.099846463,2.646930694,0.674580367,0.01407489
Experiment,,1,1,274,2.125727721,0.677551806,-2.86934987,-1.359630926,-0.709980597,3.334067335,1.515589771,0.307502428,0.617747459,1.217589812,0.68137376,1.415949906,0.001447343,0.000603248,4.40738093,5145.71097,0.797329991,0.490147412,0.015978877,2.414535617,1.333200546,1.799837627,2.322899406,3.064223481,0.780274746,481.2693805,28.85272271,0.346587742,0.72120949,0.198522938,0.733671727,0.047145416,0.093316644,0.151963301,40.52354705,4.035329684,1.159040778,0.08727191,0.000399753,1.081463965,12850.63259,0.777809708,0.603381427,2.812563667,1.159515302,0.006437253,0.339498152,0.243729458,1.385017931,9.534370572,2495.288839,0.0008878,1.239462413,1.655409483,0.593322638,1.020812814,0.608461044,1.036674478,1.907365909,0.853697042,2.317679337,0.47966843,0.035465326,0.003581101,-0.164536793,14.78131442,134.0480715,5.25E-06,80.70546479,214.7535363,11.10397843,7.706184207,33.7736171,0.760591442,1.145170908,0.088853827,3.603435468,2.973051624,0.320606176,0.012771985
Experiment,,1,1,275,2.78490078,0.419662266,-2.661747683,-2.381721434,-1.052460275,2.380779538,2.142406428,0.615741259,0.886109613,0.540191422,0.922353867,0.623581122,0.001593732,0.000542757,1.045841846,2266.274396,0.912613877,0.390673597,0.030870385,1.95690956,1.05227655,0.149575867,3.106206831,2.442101368,2.020064228,486.5236932,27.93899467,0.357922685,0.521046761,0.338782297,1.252021534,0.02575309,0.217468539,0.105788406,28.21024154,2.520360583,0.678200581,0.348586827,0.000527588,1.618563324,23374.88852,0.713465253,0.252257472,2.794066009,1.361272474,0.013209,0.256689194,0.971567269,1.012460216,7.038769057,2709.172104,4.20E-05,1.103878546,1.705103406,0.861404059,0.622318013,0.869673556,0.704949438,0.75048655,2.012904155,4.80038596,0.889216169,0.043636145,-0.005569147,-0.168645645,21.76921526,125.8057204,2.36E-06,34.2609982,160.0667186,5.926460175,3.286397746,36.7519066,0.800990315,1.271827529,0.031466829,3.417833272,2.052729246,0.496411539,0.010604337
Experiment,,1,1,276,1.876627203,0.496160902,-3.31439381,-2.37298056,-0.865661001,3.993557156,8.344347533,0.242564362,0.650996837,1.637482178,0.48473204,1.774073167,0.001968296,0.000209945,1.370258179,5999.401983,0.852023248,0.404858334,0.043680153,1.487472645,5.953751601,1.777321852,1.637575696,1.423858095,0.885771833,419.9838605,17.57805647,0.568891107,0.254910687,0.393856262,1.45555575,0.061984229,0.145698402,0.115665572,30.84415259,1.022143458,1.231838199,0.054378738,0.00065596,1.659535728,16642.48735,0.953115683,0.739266435,3.038190755,0.784500827,0.030236222,0.262308843,0.657975526,1.622998968,2.770449527,1369.47081,0.000461798,1.072066931,0.713124068,1.377790114,0.394001791,1.333340022,1.64897257,0.967396402,1.01185879,7.876207806,0.460545846,0.106024504,-0.006659424,-0.131242305,20.71627494,68.31961426,4.78E-06,54.46236069,122.7819749,8.438364675,5.53772438,40.12073473,0.767199416,1.173508012,0.069199523,5.581786705,0.87792524,0.143413517,0.013465775
Experiment,,1,1,277,2.646110269,0.312919455,-2.932527158,-3.148718738,-1.18042835,1.777092494,3.468039517,0.033080153,0.962340412,1.475909565,0.61392606,1.496862504,0.001122488,0.000329403,1.757103732,2911.737266,0.849469119,0.096253242,0.018615745,4.178706635,6.703678355,1.917268854,3.131237247,3.070906501,0.56655024,426.933921,29.22110998,0.342218349,0.130141351,0.47503286,1.755556223,0.068738495,0.154789445,0.044705271,11.9214057,1.951350031,0.482853638,0.011803317,0.000183245,1.748169301,13513.51397,0.096455398,0.944676261,2.456636413,0.888916276,0.019105028,0.146560556,0.391347753,2.839445697,10.66492051,3892.296719,0.000326975,0.905166533,1.050558065,0.91931248,1.859053196,1.572164399,0.953899147,1.610822566,1.860708487,3.656755093,1.068928672,0.07205073,-0.001486758,-0.147031458,18.22458474,106.2478124,1.93E-06,20.41907196,126.6668843,8.513865845,7.978376963,40.42492592,0.740990018,0.757767811,0.030824714,3.791476484,0.787055432,0.548764855,0.016795012
Experiment,,1,1,278,2.450341788,0.351757247,-3.23988926,-3.721558415,-1.257239163,1.295502025,5.239421795,0.921893527,1.475293257,0.763540702,0.496512496,1.189447026,0.001627586,0.000416572,2.146338547,1936.761595,0.959351686,0.833088749,0.044307089,0.797658211,1.908995557,1.201787013,2.289266082,3.119566037,1.928378476,441.9402986,29.39546515,0.340188527,0.276361895,0.327618362,1.210763512,0.044427202,0.284505216,0.34836742,92.89797871,1.990512286,0.852289503,0.184546027,0.00035743,1.680689517,3019.932721,0.151689206,0.038337379,2.598403639,0.549670359,0.028469951,0.206490069,0.373482197,0.978991276,4.753877024,4259.91656,0.000521394,0.782975343,0.612570481,1.156529007,2.18725702,1.873054668,1.402855791,1.092409716,1.75953802,0.327675974,1.090238535,0.077149823,-0.002677338,-0.145075897,22.22600276,135.0130887,4.13E-06,63.53824576,198.5513345,8.380702872,3.630190273,32.91251656,0.87697659,2.004519083,0.022069447,1.98731629,2.9166941,0.111297154,0.016168668
Experiment,,1,1,279,2.933268898,0.377763428,-3.135630035,-4.140590448,-1.440971615,1.16260576,8.12592874,0.81227232,0.573243949,4.439807469,0.888384234,0.758994614,0.001664011,0.000707231,2.272424467,1461.858633,0.605230747,0.466016912,0.025906088,6.496619297,2.270339465,2.215997508,2.091879707,2.243545369,4.473925213,405.4984518,7.136425379,1.401261762,0.164161248,0.21315228,0.787736687,0.018665749,0.252885241,0.123304593,32.88122471,1.095178012,2.104534325,0.181360386,0.000366836,1.204795107,18386.10852,0.441961468,0.067447206,2.594837087,0.589201917,0.007148582,0.244817077,0.06897347,1.977371855,4.542829132,4192.387337,0.000518524,1.12451902,0.846666741,0.427232094,2.310874887,1.218692302,1.01892241,1.665753354,3.009856784,9.782355908,0.433423355,0.096576975,0.002611246,-0.12780076,15.95874597,95.17447344,1.30E-06,40.90494358,136.079417,5.386309438,5.518875599,35.39993114,0.920660628,0.840029644,0.024592861,3.444928417,2.763055739,0.594247498,0.015376279
Experiment,,1,1,280,2.728463017,0.645945664,-3.222834433,-3.33423905,-1.234995094,1.918708162,5.811963487,0.842154422,0.7997907,0.777662268,0.373062357,1.210566864,0.00139021,0.000534937,2.009075649,1113.141287,0.72906465,0.672852197,0.029247137,2.063938964,4.445265886,1.904159374,1.344711589,3.102412955,4.335751203,440.3324397,25.43592017,0.39314481,0.148533378,0.403636835,1.491701346,0.047784813,0.101175589,0.333160496,88.84279881,1.785275084,1.033049684,0.023792547,0.000483858,1.953258777,5487.511973,0.2017731,0.353998476,2.58532988,2.058578781,0.033690882,0.197245905,0.168401606,0.610691307,6.090171831,2078.089372,8.68E-05,0.95415835,0.878983121,0.946537485,2.124839843,1.95905906,0.843818054,0.703067191,3.317974586,2.837242202,0.710518215,0.059634637,0.000479928,-0.152725501,17.85914553,146.2699384,4.01E-06,49.28421298,195.5541513,6.77304974,3.717395912,36.812324,0.751398223,2.052560485,0.039618047,2.205987888,3.082849074,0.754164413,0.010224317
